Date,Zone_ID,TGBT_ID,Armoire_ID,Machine_ID,Product_ID,Demand,Price,Production_Capacity,Inventory_Level,Order_Backlog,Competitor_Price,Raw_Material_Cost,Labor_Cost,Energy_Cost,Machine_Utilization,Energy_Consumption,Maintenance_History,Failure_Rate,Supply_Chain_Risks,Quality_Control,Financial_Risks,Compliance
2023-01-12,2,102,A1,M1,P1,138,5.626063297568923,508,234,41,17.5443152425596,2.5321758629027404,2.587731251234351,4.248849417131158,0.7804915851870361,4492,Routine maintenance,0.02999695666960671,Supplier A lead time increased,0.9621993572348507,0.974570648922515,Compliant with ISO 9001
2023-01-13,1,102,A3,M2,P3,121,6.059298359876895,375,141,24,6.11246963634742,2.2891342332973905,3.1954536035183554,2.075687793116967,0.8798861668809006,5212,Routine maintenance,0.03929255830206216,Supplier A lead time increased,0.9575236558168143,0.943513974293472,Compliant with ISO 9001
2023-01-14,2,102,A3,M3,P2,131,16.235002347750978,595,189,34,17.25358478294098,2.3929186454209397,1.3946130891591801,4.167558777138448,0.7451565797573322,4248,No maintenance recorded,0.017367763951254826,Supplier A lead time increased,0.9022635168391782,0.9035966096593494,Compliant with ISO 9001
2023-01-15,1,101,A2,M2,P1,83,11.709912885976502,520,179,78,17.545787498541806,3.767110111807376,1.6594448466730944,3.1936693905834783,0.7916351175662046,4551,No maintenance recorded,0.011618155945502764,Supplier B bankruptcy risk,0.965374085906156,0.9196386696750447,Compliant with ISO 9001
2023-01-16,3,101,A1,M1,P2,69,15.905910509540645,533,179,52,13.553503409469162,4.89590126810034,2.6477986991924936,1.1771940738007678,0.8703540837676436,4005,Replaced faulty component,0.036319072527137126,Supplier A lead time increased,0.9262577552903976,0.9592814375024028,Compliant with ISO 14001
2023-01-17,3,103,A1,M3,P2,74,10.169558827931334,473,124,72,11.0076286042172,4.9072007406345515,1.165816147402189,2.180400044575705,0.7079903444157333,5156,Routine maintenance,0.040206783778738264,Supplier A lead time increased,0.9012724138349343,0.9476284723590624,Compliant with ISO 14001
2023-01-18,2,102,A2,M2,P2,134,19.37191811780988,534,198,59,19.569951082762316,1.6633601458030713,3.8859541520905427,2.1952603978387275,0.7027101309965971,4341,Replaced faulty component,0.031037892678735107,Supplier A lead time increased,0.9186078513131112,0.9202773513311026,Compliant with OHSAS 18001
2023-01-19,2,103,A2,M1,P2,136,8.337640241152029,444,170,35,5.114485348086038,3.937933131481359,4.316793321738896,1.782134197020838,0.8079117824539216,4937,Replaced faulty component,0.018985267266972555,Supplier A lead time increased,0.9413451686121193,0.925188325928038,Compliant with ISO 9001
2023-01-20,2,102,A3,M3,P3,59,5.5621257836180575,596,171,28,9.576136037377559,1.4721267511487004,2.804908516752286,3.7688105276328945,0.7486776972081091,5097,Routine maintenance,0.02698846999061663,Supplier B bankruptcy risk,0.9438753158432415,0.9608148121002766,Compliant with ISO 9001
2023-01-21,1,101,A2,M1,P2,69,7.097264353647171,368,236,38,7.346371501450561,4.248329517090597,2.063189458525867,2.8280679191214535,0.9272497457807695,4602,Routine maintenance,0.037375550807061855,Supplier B bankruptcy risk,0.9308658958957533,0.9662764077975551,Compliant with ISO 14001
2023-01-22,1,101,A2,M1,P2,60,9.958354673918485,444,204,69,18.58911479936483,3.1816927821458876,2.7122698514411367,2.3314898342351653,0.754441927037928,5038,Routine maintenance,0.028537772092299248,Supplier B bankruptcy risk,0.9016968351175069,0.9632960506422494,Compliant with ISO 14001
2023-01-23,2,103,A2,M3,P2,148,15.891280437892295,439,189,28,11.987256690362553,1.162677964999324,2.537060527460491,3.187888006856306,0.8994349080607529,4176,Replaced faulty component,0.04634941330822183,Supplier A lead time increased,0.9299776324694965,0.9220213525154223,Compliant with ISO 9001
2023-01-24,1,103,A1,M1,P2,138,5.7380423742954445,322,167,55,17.618583982521,1.661170005781078,4.78620917815511,4.626018524124511,0.9478206651181904,4302,Replaced faulty component,0.020294267705352594,Supplier A lead time increased,0.9009362819728836,0.9543418131431335,Compliant with ISO 14001
2023-01-25,2,102,A2,M2,P2,62,16.47450581421883,518,131,39,17.592949414251656,1.461734721820196,4.769535885780439,1.0112498932189506,0.7629442812452965,4588,Routine maintenance,0.028216697098403548,Transportation strike affecting delivery,0.9036591324078135,0.9084388278623131,Compliant with ISO 9001
2023-01-26,1,101,A1,M1,P3,56,17.37910898553141,330,224,65,6.5905137894799,1.9983712846871997,4.129335576300478,1.9697113873807055,0.8048235161865714,5417,Replaced faulty component,0.03507577807534417,Supplier A lead time increased,0.9299293750402464,0.9389294978764733,Compliant with OHSAS 18001
2023-01-27,2,103,A1,M1,P3,129,9.696675704644885,435,136,35,11.662720014218772,4.503380648683118,3.5797504621317238,1.6635913968536808,0.9473400409949129,4430,Replaced faulty component,0.0161020658212701,Transportation strike affecting delivery,0.9670965107697775,0.9477363053445063,Compliant with OHSAS 18001
2023-01-28,1,102,A1,M2,P1,112,7.514263520045409,466,213,52,6.592686437436042,4.666572853942434,2.5095467320211644,3.7132492870587095,0.7399774938558784,5296,Routine maintenance,0.017433783723359346,Supplier B bankruptcy risk,0.947236769866797,0.9716677549438966,Compliant with OHSAS 18001
2023-01-29,1,102,A3,M2,P1,64,18.414757771773218,355,216,57,19.14379592644079,4.395620172108579,1.8515204495108022,2.619438843601065,0.9452223680261242,5029,Replaced faulty component,0.03236141555433064,Supplier A lead time increased,0.9541630215836424,0.9547826915520706,Compliant with ISO 14001
2023-01-30,1,103,A2,M2,P1,108,17.319428033675976,352,163,28,8.563773240665043,3.2281035285945454,2.9561112924645476,4.98051437381168,0.927932991876605,4093,Replaced faulty component,0.010900390037188998,Supplier B bankruptcy risk,0.975134650249912,0.9698875384315429,Compliant with ISO 9001
2023-01-31,2,103,A3,M1,P2,122,18.64563895200486,439,186,74,11.410039105526327,4.95763578544044,4.180000307323072,3.8738844148331255,0.836328300595578,5490,Replaced faulty component,0.04334994506896092,Supplier B bankruptcy risk,0.9721638191801216,0.9795474600403934,Compliant with OHSAS 18001
2023-02-01,1,101,A1,M2,P3,114,7.830429726159155,523,229,72,18.550675209728734,4.153434487147438,4.054244047315979,3.575119625669272,0.7903629618711595,5273,Routine maintenance,0.012137497703299482,Transportation strike affecting delivery,0.9767040625920739,0.9765664265857905,Compliant with ISO 14001
2023-02-02,3,103,A3,M1,P3,98,7.421309972319006,587,195,44,5.6576472404817775,4.340651928943574,2.183499948260434,4.786389286772696,0.7971422434708475,4718,No maintenance recorded,0.03638599959544061,Transportation strike affecting delivery,0.920411481104024,0.9380414365164216,Compliant with OHSAS 18001
2023-02-03,1,103,A1,M3,P1,134,15.39601644080224,540,195,65,14.350162397240327,4.929060183517447,3.9138020864796075,1.0912213311189487,0.7365046562612361,4335,Routine maintenance,0.02845932716175357,Supplier A lead time increased,0.9644137053912855,0.9251473377327869,Compliant with OHSAS 18001
2023-02-04,1,103,A2,M1,P3,58,7.044813849504348,338,144,40,5.923886556123091,2.356330911521498,4.362867332117903,1.4261725910974592,0.9367740074231858,4499,Replaced faulty component,0.018382783782583775,Supplier A lead time increased,0.9692439871358882,0.9376348830640984,Compliant with ISO 9001
2023-02-05,3,103,A2,M3,P3,61,19.467053554859703,575,204,30,17.76241368367843,2.4480808310771796,2.353054306403774,2.115956087040893,0.8075112580711994,4959,Routine maintenance,0.019649133558223147,Supplier A lead time increased,0.9527583107801737,0.9172370221018132,Compliant with ISO 9001
2023-02-06,3,101,A1,M3,P1,146,14.93398217907605,536,199,33,5.536711025436566,4.982723510359854,2.102017457072317,3.4671545274486895,0.8906090186456642,4142,Replaced faulty component,0.03078718461100982,Supplier A lead time increased,0.961796297234934,0.9544191128110241,Compliant with ISO 14001
2023-02-07,1,102,A3,M2,P1,135,6.038791369295968,322,220,22,16.83674835188586,4.838729316895443,4.197290254244528,4.697714279150027,0.9342733862187765,5099,Routine maintenance,0.047160340783380376,Supplier A lead time increased,0.9144241466799226,0.9474239543726584,Compliant with ISO 14001
2023-02-08,1,101,A2,M2,P1,122,12.945705108611453,493,100,73,12.87422806057753,2.534229355597206,2.6128394048646952,4.479482937733484,0.7789933989489386,5354,No maintenance recorded,0.023740117209741705,Transportation strike affecting delivery,0.9466101184051192,0.9065941447383695,Compliant with ISO 14001
2023-02-09,1,103,A2,M3,P3,66,18.171885076034442,500,185,69,9.213095231880937,4.747780598696822,3.0352087734120325,3.0647968562847407,0.9437067763950264,4905,Routine maintenance,0.03453969165507891,Transportation strike affecting delivery,0.9482217687726138,0.9753573474210134,Compliant with OHSAS 18001
2023-02-10,1,102,A3,M1,P2,106,9.83084553826945,563,246,75,7.209683101044561,2.9417333917297115,4.007711219536304,2.290578610959564,0.9439238281262496,4903,No maintenance recorded,0.01442630718630844,Supplier B bankruptcy risk,0.9223201935890831,0.9619222121722445,Compliant with OHSAS 18001
2023-02-11,1,103,A1,M3,P3,109,11.942437076029513,491,177,61,7.438757557044191,4.698855180030542,1.5814689937186266,3.319471022669778,0.7648494121625522,4015,Replaced faulty component,0.022442154760981006,Supplier B bankruptcy risk,0.9544488762151356,0.9220055008142188,Compliant with OHSAS 18001
2023-02-12,1,102,A1,M1,P2,132,7.270490128058652,459,197,62,14.28389543118155,4.853563522112294,4.004281438414152,3.449620936123367,0.8211454346510434,5443,Routine maintenance,0.03260570809868696,Supplier A lead time increased,0.9678986148899955,0.9712163378956724,Compliant with OHSAS 18001
2023-02-13,1,102,A2,M2,P3,93,9.555445915570411,493,142,68,8.510353870345806,3.7590229343090598,2.24859313993113,4.323903110623739,0.8676523064881281,5396,Replaced faulty component,0.048754547642413125,Supplier A lead time increased,0.9603963553019922,0.9530171186424553,Compliant with OHSAS 18001
2023-02-14,2,103,A1,M1,P3,140,9.312060720756968,531,189,50,16.41986224218323,4.278438848982574,1.2190132378472343,4.0313642688053415,0.8918280395086546,4181,Replaced faulty component,0.011425089308892699,Supplier A lead time increased,0.9295584328470788,0.9024789923195643,Compliant with ISO 14001
2023-02-15,2,101,A2,M2,P3,91,12.428746219005085,528,165,60,19.988317428570447,1.4008842165891005,2.8725652855788004,3.042059761297675,0.7178642411528107,4230,No maintenance recorded,0.0291019442838606,Transportation strike affecting delivery,0.9244466530585002,0.9244690971906265,Compliant with ISO 9001
2023-02-16,2,102,A3,M2,P3,71,15.63420926895611,508,149,44,10.647618389088862,2.6335147957211915,2.4156492055793755,2.652407631903188,0.7804746442806583,4057,Replaced faulty component,0.04582378359435091,Transportation strike affecting delivery,0.9328558143588737,0.9704374795450792,Compliant with OHSAS 18001
2023-02-17,2,102,A2,M3,P3,110,5.656478898282398,551,175,43,16.604632367624653,4.891491914990011,1.4792661842735506,2.3349757313896395,0.7408741244765222,4354,No maintenance recorded,0.04961474282255406,Supplier B bankruptcy risk,0.907755697682121,0.9677212486418,Compliant with ISO 9001
2023-02-18,3,103,A2,M1,P2,144,12.92765470153654,412,116,66,11.108065518014222,4.057176918242457,4.914198308095834,3.596748833219693,0.8425322020324097,5343,Routine maintenance,0.046368798975119065,Transportation strike affecting delivery,0.9035298407661111,0.9328662856889193,Compliant with OHSAS 18001
2023-02-19,3,103,A1,M3,P2,80,10.108636544287524,486,114,35,10.28969599383677,3.431091284039458,4.7714096898603735,1.2009258535869631,0.7664270916893186,5385,No maintenance recorded,0.023585624083917813,Supplier A lead time increased,0.9535418776576752,0.9525722937035598,Compliant with OHSAS 18001
2023-02-20,2,101,A2,M1,P2,94,16.249697686441,341,175,38,12.004979057546972,2.200148278310397,1.6268110953164734,3.4933801688237263,0.8975008934873618,4998,No maintenance recorded,0.039026965250670405,Supplier A lead time increased,0.9605209339937725,0.9202655295967707,Compliant with OHSAS 18001
2023-02-21,3,102,A2,M3,P2,119,9.421223642799193,317,126,63,7.274524658769168,3.1872917538265666,3.8696858046316245,2.2139486775237383,0.9091206317979343,5339,Routine maintenance,0.031287915794748794,Supplier B bankruptcy risk,0.9297848226326882,0.9447778433946077,Compliant with ISO 9001
2023-02-22,3,103,A1,M3,P3,137,12.941706795442022,341,184,75,9.834665119623786,1.6971104956987513,2.223475526798031,3.8240375663589217,0.7791938325267531,4223,Replaced faulty component,0.04061016085407675,Supplier A lead time increased,0.9159466091774789,0.9553695876819944,Compliant with ISO 14001
2023-02-23,2,101,A3,M2,P2,117,10.37973308036955,404,221,23,7.769450429668157,1.8172039121364638,4.793541014330451,2.0992473765620305,0.7612833707898377,5289,Routine maintenance,0.028997863910865597,Transportation strike affecting delivery,0.9672912380484013,0.9132304632319854,Compliant with OHSAS 18001
2023-02-24,1,101,A1,M2,P2,71,15.701157152740533,583,199,79,13.529092025644175,2.0722692673078065,1.6223133342191978,1.6815969717641286,0.8722889976320674,4630,Replaced faulty component,0.02597634380083988,Supplier A lead time increased,0.9094161202233826,0.9166565515754539,Compliant with OHSAS 18001
2023-02-25,2,103,A1,M2,P3,86,8.463897764525282,385,146,42,12.541421401971846,1.7600604252252023,3.6974340709501656,4.454287289872635,0.8192506882112559,4565,Routine maintenance,0.02149872970155143,Supplier A lead time increased,0.910372617661336,0.9426962541204958,Compliant with ISO 14001
2023-02-26,1,102,A1,M2,P1,63,13.290671252341685,361,160,37,6.102455781032876,1.3194829249617595,2.1696937932140603,1.4390401666292227,0.7913241655788504,5387,No maintenance recorded,0.033155881852060566,Supplier B bankruptcy risk,0.9291794978741748,0.9126843730906035,Compliant with ISO 14001
2023-02-27,1,103,A3,M2,P2,134,11.230402684159927,427,162,54,16.12164341719918,3.898800264686185,4.472364200440488,4.92026315080699,0.9072204060618018,4760,Routine maintenance,0.04483959335343487,Supplier B bankruptcy risk,0.929637971406945,0.9483536454398913,Compliant with ISO 14001
2023-02-28,1,101,A2,M1,P2,98,5.281764985322602,560,233,44,9.555548294317779,1.3099696383907529,3.393685892314126,3.428624093378089,0.8502965407952658,5079,Replaced faulty component,0.01658940023506136,Supplier A lead time increased,0.9401039414058809,0.9360026137101123,Compliant with ISO 14001
2023-03-01,3,102,A3,M2,P1,61,10.180669389674044,484,159,48,9.468233395565083,4.454836353471404,4.800813006662807,4.3698889474364915,0.9387233804634746,4825,Routine maintenance,0.014852532815666834,Supplier B bankruptcy risk,0.9345677613374797,0.9439300287942546,Compliant with OHSAS 18001
2023-03-02,2,101,A3,M3,P1,142,14.267471961170376,515,132,69,17.217637233360996,2.3172473275875993,1.7320991131680525,3.719584889766099,0.8444458368331982,4658,Routine maintenance,0.047455999412277114,Supplier A lead time increased,0.9611524840241323,0.9763214696155317,Compliant with ISO 9001
2023-03-03,2,102,A1,M1,P2,57,17.84757206799453,301,158,31,6.193084593141624,3.1545158284812063,3.5046304652272298,3.5871845778485483,0.7445761945189076,4265,Routine maintenance,0.04461358190234124,Supplier B bankruptcy risk,0.9076003031595873,0.9140458076046241,Compliant with ISO 9001
2023-03-04,3,102,A2,M1,P1,125,16.56441485038766,475,230,34,7.137965813503579,3.923068259664279,4.757284254320519,2.9954395443595963,0.8141793839922101,5251,Replaced faulty component,0.03251159891846237,Supplier A lead time increased,0.9636531672888675,0.9791544006410458,Compliant with OHSAS 18001
2023-03-05,3,103,A2,M2,P3,147,12.406583147875452,539,231,69,15.303760625038823,2.0466115109751204,4.099428796280339,2.4205460183214127,0.7278923234639393,4310,Routine maintenance,0.02354625911470188,Transportation strike affecting delivery,0.9715460139836238,0.9595681336624992,Compliant with OHSAS 18001
2023-03-06,2,101,A1,M3,P2,95,11.336748626425345,414,156,46,18.1220135625263,3.1089130323238936,2.432182357278178,1.4452666944473158,0.8108635631590869,5019,No maintenance recorded,0.018749079342355812,Supplier B bankruptcy risk,0.9338825849794999,0.903024865411852,Compliant with ISO 9001
2023-03-07,3,101,A1,M3,P3,91,12.394604832980631,368,167,47,7.879564585405158,3.2928127838879284,1.0501511369190366,2.067186875266861,0.7076197900785465,4470,Replaced faulty component,0.024442232705697547,Supplier B bankruptcy risk,0.9582415695062128,0.9442795664788882,Compliant with ISO 9001
2023-03-08,1,101,A1,M2,P3,68,5.81118943657726,312,120,52,17.614847400391056,1.8675404108732634,3.8615417074020812,4.447363229199762,0.8480026348037204,4419,Replaced faulty component,0.014592724309711773,Supplier B bankruptcy risk,0.974379725589036,0.9624286258056463,Compliant with OHSAS 18001
2023-03-09,2,102,A1,M2,P2,144,15.20108334091276,398,231,72,12.90305464682618,4.740910192068297,3.242854207074436,3.0225493643606995,0.9280590080485052,4696,No maintenance recorded,0.04113345130584298,Supplier B bankruptcy risk,0.9618844714144816,0.9001575311181635,Compliant with ISO 14001
2023-03-10,3,103,A1,M3,P3,76,12.301223606037542,576,187,30,6.839568317502669,2.219867033577042,2.504615766141622,4.602842787393216,0.7825574596068756,4266,Replaced faulty component,0.029154360811630878,Supplier A lead time increased,0.9106087426549861,0.902196762800125,Compliant with ISO 14001
2023-03-11,1,101,A1,M1,P2,126,5.066088274604211,452,127,64,14.937703692748212,3.577869478084043,1.893562367982684,3.7436214920964965,0.700744117695081,4759,Routine maintenance,0.03125834968179071,Supplier A lead time increased,0.9547262944972456,0.9121941261245894,Compliant with OHSAS 18001
2023-03-12,1,101,A1,M3,P2,95,13.384314309553782,464,127,21,19.743820083117587,2.935308880393447,4.105200597702261,3.8309158708811455,0.7442006651362254,4341,Routine maintenance,0.032727024855402576,Supplier B bankruptcy risk,0.9118629710010855,0.925023948733638,Compliant with OHSAS 18001
2023-03-13,3,102,A2,M2,P3,129,7.9478684228307666,440,180,60,11.052281126445017,2.178873898654861,4.71653887274042,2.0791034624187166,0.7748468569458512,4757,Routine maintenance,0.020045323576255568,Transportation strike affecting delivery,0.9301110700745695,0.9019657839873505,Compliant with ISO 9001
2023-03-14,1,102,A1,M1,P2,100,9.912387488634339,322,188,63,14.718017945667947,2.2653202768498044,1.5332338836358876,1.6760233494128958,0.9481691740041749,5462,Replaced faulty component,0.0387931606113927,Transportation strike affecting delivery,0.9249601464541664,0.9436336741198741,Compliant with OHSAS 18001
2023-03-15,3,103,A3,M1,P2,142,13.808181427761207,309,144,72,14.53610704324053,2.9072920518491236,4.751216573795301,3.753740044959331,0.8614041969269548,4510,Routine maintenance,0.025119001411904197,Supplier B bankruptcy risk,0.9615546013789074,0.9091402107923605,Compliant with ISO 14001
2023-03-16,2,101,A2,M2,P2,114,13.666878733251448,564,132,73,6.849220000271277,2.8248765567133973,1.8131975112635499,2.4081527217011347,0.7353472777111788,4650,No maintenance recorded,0.0490427209727266,Supplier B bankruptcy risk,0.9510138434767994,0.9785706553616603,Compliant with OHSAS 18001
2023-03-17,1,103,A3,M2,P1,140,19.625338737453234,457,172,53,12.54858569743725,2.782052297182498,1.0800942428458495,2.607072178329392,0.8731603764694106,4449,No maintenance recorded,0.028858214270655776,Supplier A lead time increased,0.9224724601883233,0.9475768867232732,Compliant with OHSAS 18001
2023-03-18,2,101,A2,M3,P1,70,15.513918176109218,379,230,73,8.488517965264606,4.955775498933242,1.1779971367393434,4.713189163726125,0.7583507388291129,4420,No maintenance recorded,0.040676091714984645,Transportation strike affecting delivery,0.9420603277545957,0.9095769433240828,Compliant with ISO 14001
2023-03-19,2,101,A3,M3,P3,139,17.988336025362848,318,142,49,15.089884670711774,4.6901826601007475,1.2705189145423215,4.0927890917564,0.9112488426882779,4783,Routine maintenance,0.015678828303513904,Transportation strike affecting delivery,0.9495160605484297,0.9602689920850069,Compliant with ISO 9001
2023-03-20,1,102,A1,M1,P2,145,18.844084032962307,359,127,50,11.798541493111157,3.040337440699174,1.050854655166233,2.4576428793059724,0.9155503950354181,5384,No maintenance recorded,0.010996728116783658,Supplier A lead time increased,0.963111960892392,0.962901205131987,Compliant with ISO 14001
2023-03-21,2,103,A3,M1,P3,119,19.988586110533,414,136,36,5.851218614764689,1.5217884426007764,4.734909577868509,1.7023848837975564,0.8272958461898159,4483,No maintenance recorded,0.025438103376699786,Supplier B bankruptcy risk,0.9506109815615913,0.9530774019232341,Compliant with ISO 14001
2023-03-22,2,103,A2,M3,P2,62,12.45815499743317,504,148,31,7.857180452944905,2.7293078771908896,4.157578462887813,2.342289903821951,0.8409707286855121,4749,Replaced faulty component,0.02319729321894238,Supplier A lead time increased,0.9232783116236563,0.976596750488535,Compliant with ISO 9001
2023-03-23,2,101,A3,M2,P3,141,19.436186952440117,548,246,22,5.9489983715287424,3.999019299835814,2.33337909337481,4.767503120925328,0.7034686910025217,5075,Replaced faulty component,0.01752138382734992,Supplier A lead time increased,0.9455809745367482,0.9260888099402592,Compliant with OHSAS 18001
2023-03-24,1,103,A2,M2,P2,112,15.644761271890077,363,167,38,18.583543018547907,1.5486445168471188,2.715226189585745,4.506374390631779,0.7623922513900481,4298,Routine maintenance,0.025215703223887425,Transportation strike affecting delivery,0.9034387619703185,0.9135585257343495,Compliant with OHSAS 18001
2023-03-25,1,103,A1,M2,P3,137,16.77454079986547,562,213,22,8.71406339831538,3.7297885071058268,2.8136756326478096,4.259280181145423,0.9413477372400503,4945,Replaced faulty component,0.04640563004761025,Supplier B bankruptcy risk,0.9116356658131932,0.9360196520274472,Compliant with OHSAS 18001
2023-03-26,3,102,A2,M1,P1,124,8.14680144301283,307,210,23,11.80197589594815,2.521419574106904,1.204091845077489,3.262324356469052,0.7854234542829263,4448,Routine maintenance,0.03619338126712902,Supplier A lead time increased,0.9627593468405667,0.948993211971101,Compliant with ISO 9001
2023-03-27,1,101,A2,M2,P2,133,17.434041996993543,465,191,60,18.898429287073903,2.8820482192226713,3.4128406112388663,4.3509077262277245,0.849304161010014,4334,Replaced faulty component,0.022378612735683503,Supplier B bankruptcy risk,0.9751867378462409,0.9060986918466133,Compliant with OHSAS 18001
2023-03-28,2,102,A2,M3,P2,94,12.474574079405965,397,120,41,7.695380877898163,2.903862372029055,1.1566621629738867,1.7385767596508304,0.8246881411034654,5142,No maintenance recorded,0.03548402689532988,Supplier A lead time increased,0.9046088584997104,0.9663654673166956,Compliant with OHSAS 18001
2023-03-29,1,101,A3,M1,P2,57,17.23231851437474,428,185,72,9.696444312592273,1.7709432517712345,3.6559528889798307,3.917611756198525,0.9370826613214776,4873,Replaced faulty component,0.02649858171445158,Transportation strike affecting delivery,0.9543135298509459,0.9368901092864335,Compliant with OHSAS 18001
2023-03-30,2,101,A1,M1,P2,120,16.448214075500854,341,153,56,13.164105272130673,4.044913431392235,3.8353404082319154,2.7953593917565405,0.7854607147959827,5423,No maintenance recorded,0.04062653206744048,Transportation strike affecting delivery,0.9646326207449237,0.9161310032781461,Compliant with ISO 9001
2023-03-31,1,101,A2,M3,P2,89,11.072595751162144,379,210,50,15.548758252075979,4.521273876034739,4.586544929375114,4.599029756262054,0.8702254164484133,4637,No maintenance recorded,0.029842942061865607,Supplier B bankruptcy risk,0.966127160794779,0.9500775371704434,Compliant with OHSAS 18001
2023-04-01,3,103,A3,M3,P2,109,15.108075641805751,399,194,33,12.70348344619487,3.125991648840125,3.28998300427916,3.597659084076403,0.919662568742187,4410,Replaced faulty component,0.01862974767445545,Supplier B bankruptcy risk,0.9326059891222239,0.9212410789900832,Compliant with OHSAS 18001
2023-04-02,1,102,A3,M1,P3,120,8.163504269991101,410,232,22,12.738877554653978,4.871210653911046,2.448059526908299,3.2496746393599985,0.8232863683995003,4276,Replaced faulty component,0.03588699143906305,Transportation strike affecting delivery,0.9486915474056588,0.9455804702434532,Compliant with ISO 9001
2023-04-03,1,101,A3,M3,P3,125,6.2223637041970745,489,155,49,17.383574825005045,4.735306065901566,3.708653223895425,3.6891984861375713,0.7703773517833177,4782,No maintenance recorded,0.02041506742432171,Transportation strike affecting delivery,0.9158841073267108,0.952538203202063,Compliant with OHSAS 18001
2023-04-04,2,101,A3,M3,P2,138,17.221506765783204,334,162,55,19.92101804857362,1.10789564808245,2.7519133185982563,2.3356666738818257,0.7989429531592701,4504,Replaced faulty component,0.02388126250790155,Transportation strike affecting delivery,0.976427587120498,0.9138217285962232,Compliant with OHSAS 18001
2023-04-05,3,102,A2,M3,P2,144,15.253176838303556,468,112,47,9.779511315158576,4.594754631170552,3.1017134194515275,1.549353021964961,0.8878685931858092,4804,No maintenance recorded,0.01708777672843914,Transportation strike affecting delivery,0.9062776972188582,0.9304536966584167,Compliant with ISO 14001
2023-04-06,1,101,A2,M2,P3,124,17.310165988976305,319,105,38,13.237302596999433,3.8195939583549645,1.5052014011208033,4.409203698613986,0.921031057192593,5330,Routine maintenance,0.012619944006733785,Supplier B bankruptcy risk,0.9739890812153036,0.9090736599344111,Compliant with OHSAS 18001
